Categoria,Immagine,R2 URL,Prodotto ID,Prodotto Nome,Match Type,Confidence
"motoriduttori","motoriduttore-per-stufe-a-pellet-mellor-3-rpm-con-sensore-di-giri.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/motoriduttori/motoriduttore-per-stufe-a-pellet-mellor-3-rpm-con-sensore-di-giri.jpg","122","MOTORE COCLEA PER STUFE A PELLET 3 RPM CON SENSORE GIRI","name-partial","manual-verified"
"bracieri-camere-combustione","BRACIERE 4KW 2.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-4kw-2.jpeg","175","BRACIERE IN GHISA ","name-partial","low"
"bracieri-camere-combustione","BRACIERE 4KW 3.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-4kw-3.jpeg","175","BRACIERE IN GHISA ","name-partial","low"
"bracieri-camere-combustione","BRACIERE 6 KW 2.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-6-kw-2.jpeg","175","BRACIERE IN GHISA ","name-partial","low"
"bracieri-camere-combustione","BRACIERE 6 KW 3.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-6-kw-3.jpeg","175","BRACIERE IN GHISA ","name-partial","low"
"bracieri-camere-combustione","BRACIERE 6 KW 5.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-6-kw-5.jpeg","175","BRACIERE IN GHISA ","name-partial","low"
"bracieri-camere-combustione","BRACIERE 6 KW.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-6-kw.jpeg","175","BRACIERE IN GHISA ","name-partial","low"
"bracieri-camere-combustione","BRACIERE 6 KW4.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-6-kw4.jpeg","175","BRACIERE IN GHISA ","name-partial","low"
"bracieri-camere-combustione","BRACIERE 8 (9) KW 2.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-8-9-kw-2.jpeg","175","BRACIERE IN GHISA ","name-partial","low"
"bracieri-camere-combustione","BRACIERE 8 (9) KW 3.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-8-9-kw-3.jpeg","175","BRACIERE IN GHISA ","name-partial","low"
"bracieri-camere-combustione","BRACIERE 8 (9) KW 4.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-8-9-kw-4.jpeg","175","BRACIERE IN GHISA ","name-partial","low"
"bracieri-camere-combustione","BRACIERE 8 (9) KW.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-8-9-kw.jpeg","175","BRACIERE IN GHISA ","name-partial","low"
"bracieri-camere-combustione","BRACIERE IN GHISA (2).jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-in-ghisa-2.jpg","175","BRACIERE IN GHISA ","name-exact","high"
"bracieri-camere-combustione","BRACIERE IN GHISA.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-in-ghisa.jpg","175","BRACIERE IN GHISA ","name-exact","high"
"bracieri-camere-combustione","BRACIERE STUFE 8-11 KW.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/braciere-stufe-8-11-kw.jpg","175","BRACIERE IN GHISA ","name-partial","low"
"bracieri-camere-combustione","Misure Braciere 2.png","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/misure-braciere-2.png","175","BRACIERE IN GHISA","name-partial","manual-verified"
"bracieri-camere-combustione","Misure Braciere.png","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/bracieri-camere-combustione/misure-braciere.png","175","BRACIERE IN GHISA","name-partial","manual-verified"
"accessori","wifi duepi 2.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/accessori/wifi-duepi-2.jpeg","177","MODULO WIFI DUEPI","name-partial","manual-verified"
"accessori","wifi duepi.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/accessori/wifi-duepi.jpeg","177","MODULO WIFI DUEPI","name-partial","manual-verified"
