Immagine,R2 URL,Prodotto ID,Prodotto Nome,SKU,Match Type,Confidence
"RESISTENZA ELETTRICA Ø 9,5 mm LUNGH.188 MM ESECUZIONE DRITTA.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-9-5-mm-lungh-188-mm-esecuzione-dritta.jpg","60","RESISTENZA ELETTRICA Ø 9,5 mm LUNGH.188 MM  ESECUZIONE DRITTA","HT62683","name-exact","high"
"RESISTENZA ELETTRICA Ø 9,9 mm LUNGH.155 MM ESECUZIONE DRITTA.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-9-9-mm-lungh-155-mm-esecuzione-dritta.jpg","63","RESISTENZA ELETTRICA Ø 9,9 mm LUNGH.155 MM  ESECUZIONE DRITTA","HT62685","name-exact","high"
"RESISTENZA ELETTRICA Ø 9,9 mm x 140 mm ATTACCO A FILETTO 38.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-9-9-mm-x-140-mm-attacco-a-filetto-38.jpg","25","RESISTENZA ELETTRICA Ø 9,9 mm x 140 mm ATTACCO A FILETTO 3/8","HT65012","name-partial","medium"
"RESISTENZA ELETTRICA Ø12,5 mm LUNGH.130 mm.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-12-5-mm-lungh-130-mm.jpg","23","RESISTENZA ELETTRICA Ø12,5 mm LUNGH.130 mm","NULL","name-exact","high"
"resistenza-elettrica-9,9mm-170mm.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-9-9mm-170mm.jpg","23","RESISTENZA ELETTRICA Ø12,5 mm LUNGH.130 mm","NULL","name-partial","low"
"WhatsApp Image 2017-08-04 at 11.17.11 (1).jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/whatsapp-image-2017-08-04-at-11-17-11-1.jpeg","","","","unmatched","none"
"WhatsApp Image 2017-08-04 at 11.17.13.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/whatsapp-image-2017-08-04-at-11-17-13.jpeg","","","","unmatched","none"
"WhatsApp Image 2019-05-30 at 09.41.02.jpeg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/whatsapp-image-2019-05-30-at-09-41-02.jpeg","","","","unmatched","none"
"235.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/235.jpg","","","","unmatched","none"
"CONNETTORE 2 POLI.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/connettore-2-poli.jpg","70","CONNETTORE SCHEDA 10 POLI","NULL","name-partial","low"
"CONNETTORE SCHEDA 10 POLI.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/connettore-scheda-10-poli.jpg","70","CONNETTORE SCHEDA 10 POLI","NULL","name-exact","high"
"CONNETTORE SCHEDA 2 POLI.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/connettore-scheda-2-poli.jpg","75","CONNETTORE SCHEDA 2 POLI","NULL","name-exact","high"
"CONNETTORE SCHEDA 3 POLI.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/connettore-scheda-3-poli.jpg","74","CONNETTORE SCHEDA 3 POLI","NULL","name-exact","high"
"CONNETTORE SCHEDA 4 POLI.jpg","https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/schede-elettroniche-sensori/connettore-scheda-4-poli.jpg","73","CONNETTORE SCHEDA 4 POLI","NULL","name-exact","high"
