id,product_id,image_url,sort_order,alt_text,created_at
1,10,https://www.ricambixstufe.it/ricambixstufe/127-home_default/motoriduttore-mellor-t14-5-rpm.jpg,0,MOTORIDUTTORE MELLOR T14 – 5 RPM,2026-04-02 10:47:25.78266+00
2,177,https://www.ricambixstufe.it/ricambixstufe/608-home_default/modulo-wifi-duepi-connessione-senza-fili.jpg,0,MODULO WIFI DUEPI,2026-04-02 10:47:25.78266+00
3,170,https://www.ricambixstufe.it/ricambixstufe/475-home_default/motore-per-estrattore-fumi-230v-50hz-pala-o150x20mm-.jpg,0,"MOTORE PER ESTRATTORE FUMI 230V 50Hz PALA Ø150X20mm ",2026-04-02 10:47:25.78266+00
4,171,https://www.ricambixstufe.it/ricambixstufe/477-home_default/vaso-di-espansione-cimm-lt8.jpg,0,VASO DI ESPANSIONE CIMM  LT.8,2026-04-02 10:47:25.78266+00
5,173,https://www.ricambixstufe.it/ricambixstufe/575-home_default/termoregolatore-2-rele-230vac-1-multi-probe.jpg,0,TERMOREGOLATORE 2 RELE' 230Vac 1 MULTI PROBE,2026-04-02 10:47:25.78266+00
6,174,https://www.ricambixstufe.it/ricambixstufe/587-home_default/motore-coclea-15-rpm-ggm.jpg,0,"MOTORE COCLEA 1,5 RPM GGM",2026-04-02 10:47:25.78266+00
7,175,https://www.ricambixstufe.it/ricambixstufe/590-home_default/braciere-in-ghisa-.jpg,0,"BRACIERE IN GHISA ",2026-04-02 10:47:25.78266+00
8,176,https://www.ricambixstufe.it/ricambixstufe/606-home_default/ventilatore-tangenziale-bocca-36cm.jpg,0,VENTILATORE TANGENZIALE PALA Ø60X360mm,2026-04-02 10:47:25.78266+00
9,11,https://www.ricambixstufe.it/ricambixstufe/489-home_default/motoriduttore-per-stufe-a-pellet-mellor.jpg,0,"MOTORE COCLEA  PER STUFE A PELLET 1,26 RPM",2026-04-02 10:47:25.78266+00
10,12,https://www.ricambixstufe.it/ricambixstufe/491-home_default/motoriduttore-per-stufe-a-pellet-mellor-2.jpg,0,MOTORE COCLEA  PER STUFE A PELLET 2 RPM,2026-04-02 10:47:25.78266+00
11,13,https://www.ricambixstufe.it/ricambixstufe/493-home_default/motoriduttore-per-stufe-a-pellet-mellor-3.jpg,0,MOTORE COCLEA  PER STUFE A PELLET 3 RPM,2026-04-02 10:47:25.78266+00
12,14,https://www.ricambixstufe.it/ricambixstufe/495-home_default/motoriduttore-per-stufe-a-pellet-mellor-4.jpg,0,MOTORIDUTTORE PER STUFE A PELLET MELLOR 4 RPM,2026-04-02 10:47:25.78266+00
13,15,https://www.ricambixstufe.it/ricambixstufe/368-home_default/ventilatore-fumi-ebm-senza-encoder.jpg,0,VENTILATORE FUMI CON ENCODER,2026-04-02 10:47:25.78266+00
14,16,https://www.ricambixstufe.it/ricambixstufe/227-home_default/ventilatore-fumi-ebmpapst-con-encoder.jpg,0,VENTILATORE FUMI EBMPAPST CON ENCODER,2026-04-02 10:47:25.78266+00
15,17,https://www.ricambixstufe.it/ricambixstufe/531-home_default/ventilatore-aria-centrifugo-per-stufa-a-pellet.jpg,0,VENTILATORE ARIA CENTRIFUGO PER STUFA A PELLET,2026-04-02 10:47:25.78266+00
16,18,https://www.ricambixstufe.it/ricambixstufe/532-home_default/ventilatore-tangenziale-grande.jpg,0,VENTILATORE TANGENZIALE GRANDE DX,2026-04-02 10:47:25.78266+00
17,19,https://www.ricambixstufe.it/ricambixstufe/534-home_default/ventilatore-tangenziale-piccolo.jpg,0,VENTILATORE TANGENZIALE PICCOLO,2026-04-02 10:47:25.78266+00
18,20,https://www.ricambixstufe.it/ricambixstufe/203-home_default/ventilatore-tangenziale.jpg,0,VENTILATORE TANGENZIALE BOCCA DA 24CM,2026-04-02 10:47:25.78266+00
19,22,https://www.ricambixstufe.it/ricambixstufe/229-home_default/ventilatore-aria-stufe-slim.jpg,0,VENTILATORE ARIA STUFE SLIM,2026-04-02 10:47:25.78266+00
20,23,https://www.ricambixstufe.it/ricambixstufe/179-home_default/resistenza-elettrica.jpg,0,"RESISTENZA ELETTRICA Ø12,5 mm LUNGH.130 mm",2026-04-02 10:47:25.78266+00
21,24,https://www.ricambixstufe.it/ricambixstufe/177-home_default/resistenza-elettrica-2.jpg,0,"RESISTENZA ELETTRICA Ø 12,5 mm LUNGH.100 mm",2026-04-02 10:47:25.78266+00
22,25,https://www.ricambixstufe.it/ricambixstufe/181-home_default/resistenza-elettrica-3.jpg,0,"RESISTENZA ELETTRICA Ø 9,9 mm x 140 mm ATTACCO A FILETTO 3/8",2026-04-02 10:47:25.78266+00
23,26,https://www.ricambixstufe.it/ricambixstufe/244-home_default/resistenza-elettrica-3.jpg,0,"RESISTENZA ELETTRICA Ø 12,5 mm",2026-04-02 10:47:25.78266+00
